cpuFuzzy,Best multi,,,,,cpuFuzzy,uni,,,,,cpuFuzzy,Worst Multi,,,,,,,,,
0.3529681092,0.3459473211,0.4337854139,0.9254811437,0.3446007439,,0.3196433847,0.9256957335,0.3851396492,0.9256957335,0.3557476876,,0.6342625608,0.5761511247,0.9254811437,0.9254811437,0.420760665,,,,,,
0.3191593824,0.322479031,0.9255837587,0.3669663455,0.9255837587,,0.3278764212,0.3338285957,0.3976109132,0.9260804352,0.9260804352,,0.9255837587,0.9255837587,0.9255837587,0.3898750044,0.9255837587,,,,,,
0.3339318139,0.9259671827,0.9259671827,0.9259671827,0.9259671827,,0.3387908253,0.9259486406,0.3546148279,0.9259486406,0.3600697147,,0.9259671827,0.4890123202,0.9259671827,0.420692212,0.3867249334,,,,,,
0.3664419974,0.3541295365,0.9258357088,0.3234699171,0.3497271504,,0.925995257,0.3349603916,0.3705485681,0.3299039536,0.925995257,,0.3527091564,0.9258357088,0.4148474249,0.9258357088,0.399106294,,,,,,
memFuzzy,,,,,,memFuzzy,,,,,,memFuzzy,,,,,,,,,,
0.0351686986,0.0497156869,0.2105410355,0.2105410355,0.0348497081,,0.2105585913,0.0356504694,0.2105585913,0.2105585913,0.0357265195,,0.0420387972,0.0367517428,0.0383207431,0.2105410355,0.2105410355,,0.0420387972,0.0367517428,0.0383207431,0.2105410355,0.2105410355
0.0438653782,0.0366659581,0.2105750193,0.0417923393,0.2105750193,,0.2106068939,0.2106068939,0.2106068939,0.0345989292,0.0367549267,,0.0333635445,0.0336299131,0.0363474303,0.2105750193,0.2105750193,,0.0353532032,0.0423187681,0.0387977164,0.2105750193,0.0345668803
0.2106232972,0.2106232972,0.038095551,0.0349676723,0.0370027126,,0.210624031,0.0405763872,0.210624031,0.210624031,0.210624031,,0.2106232972,0.2106232972,0.034136085,0.0347336075,0.2106232972,,0.0421598193,0.0349711912,0.0380094187,0.0343665979,0.0424041653
0.0351766092,0.037710902,0.036745642,0.2106404338,0.0365828246,,0.0415786881,0.2106569434,0.0361807992,0.0389048215,0.2106569434,,0.0336366377,0.2106404338,0.0344419107,0.0348587764,0.2106404338,,0.2106404338,0.0349966131,0.0433399325,0.2106404338,0.0358474244
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
cpu,,,,,,memFuzzy,,,,,,,,,,,,,,,,
0.3446007439,0.3191593824,0.3339318139,0.3234699171,,,0.0303142147,0.0300199184,0.0314563895,0.0348244447,,Best multi,,,,,,,,,,,
0.3591401731,0.3418294928,0.3888599124,0.3527091564,,,0.0367517428,0.0345668803,0.0347336075,0.0349966131,,Worst Multi,,,,,,,,,,,
0.3685022071,0.3278764212,0.3387908253,0.3299039536,,,0.0356504694,0.0345989292,0.0405763872,0.0361807992,,Uni,,,,,,,,,,,
